n = 5
  |V|   |E|   deg   Gen Set   alpha   sigma
  17    34    4     [3, 7]                     5       1
  17    34    4     [3, 8]                     7       1
  17    34    4     [4, 5]                     7       1
  17    34    4     [4, 6]                     6       1
  17    34    4     [4, 7]                     7       1
  17    34    4     [4, 8]                     5       1
  17    34    4     [5, 6]                     5       1
  17    34    4     [5, 7]                     5       1
  17    34    4     [5, 8]                     6       1
  17    34    4     [6, 7]                     6       1
  17    34    4     [6, 8]                     6       1
  17    34    4     [7, 8]                     7       1
  17    51    6     [1, 2, 3]                  4       1
  17    51    6     [1, 2, 4]                  5       1
  17    51    6     [1, 2, 5]                  5       1
  17    51    6     [1, 2, 6]                  4       1
  17    51    6     [1, 2, 7]                  5       1
  17    51    6     [1, 2, 8]                  5       1
  17    51    6     [1, 3, 4]                  4       1
  17    51    6     [1, 3, 5]                  6       1
  17    51    6     [1, 3, 6]                  4       1
  17    51    6     [1, 3, 7]                  5       1
  17    51    6     [1, 3, 8]                  4       1
  17    51    6     [1, 4, 5]                  4       1
  17    51    6     [1, 4, 6]                  6       1
  17    51    6     [1, 4, 7]                  6       1
  17    51    6     [1, 4, 8]                  5       1
  17    51    6     [1, 5, 6]                  4       1
  17    51    6     [1, 5, 7]                  5       1
  17    51    6     [1, 5, 8]                  5       1
  17    51    6     [1, 6, 7]                  4       1
  17    51    6     [1, 6, 8]                  5       1
  17    51    6     [1, 7, 8]                  4       1
  17    51    6     [2, 3, 4]                  5       1
  17    51    6     [2, 3, 5]                  4       1
  17    51    6     [2, 3, 6]                  5       1
  17    51    6     [2, 3, 7]                  5       1
  17    51    6     [2, 3, 8]                  6       1
  17    51    6     [2, 4, 5]                  4       1
  17    51    6     [2, 4, 6]                  4       1
  17    51    6     [2, 4, 7]                  5       1
  17    51    6     [2, 4, 8]                  5       1
  17    51    6     [2, 5, 6]                  4       1
  17    51    6     [2, 5, 7]                  4       1
  17    51    6     [2, 5, 8]                  6       1
  17    51    6     [2, 6, 7]                  6       1
  17    51    6     [2, 6, 8]                  4       1
  17    51    6     [2, 7, 8]                  4       1
  17    51    6     [3, 4, 5]                  6       1
  17    51    6     [3, 4, 6]                  5       1
  17    51    6     [3, 4, 7]                  4       1
  17    51    6     [3, 4, 8]                  5       1
  17    51    6     [3, 5, 6]                  5       1
  17    51    6     [3, 5, 7]                  5       1
  17    51    6     [3, 5, 8]                  4       1
  17    51    6     [3, 6, 7]                  5       1
  17    51    6     [3, 6, 8]                  4       1
  17    51    6     [3, 7, 8]                  4       1
  17    51    6     [4, 5, 6]                  5       1
  17    51    6     [4, 5, 7]                  4       1
  17    51    6     [4, 5, 8]                  4       1
  17    51    6     [4, 6, 7]                  4       1
  17    51    6     [4, 6, 8]                  5       1
  17    51    6     [4, 7, 8]                  4       1
  17    51    6     [5, 6, 7]                  5       1
  17    51    6     [5, 6, 8]                  5       1
  17    51    6     [5, 7, 8]                  5       1
  17    51    6     [6, 7, 8]                  6       1
  17    68    8     [1, 2, 3, 4]               3       1
  17    68    8     [1, 2, 3, 5]               3       1
  17    68    8     [1, 2, 3, 6]               4       1
  17    68    8     [1, 2, 3, 7]               4       1
  17    68    8     [1, 2, 3, 8]               3       1
  17    68    8     [1, 2, 4, 5]               4       1
  17    68    8     [1, 2, 4, 6]               3       1
  17    68    8     [1, 2, 4, 7]               5       1
  17    68    8     [1, 2, 4, 8]               3       1
  17    68    8     [1, 2, 5, 6]               4       1
  17    68    8     [1, 2, 5, 7]               4       1
  17    68    8     [1, 2, 5, 8]               5       1
  17    68    8     [1, 2, 6, 7]               4       1
  17    68    8     [1, 2, 6, 8]               4       1
  17    68    8     [1, 2, 7, 8]               3       1
  17    68    8     [1, 3, 4, 5]               4       1
  17    68    8     [1, 3, 4, 6]               4       1
  17    68    8     [1, 3, 4, 7]               3       1
  17    68    8     [1, 3, 4, 8]               4       1
  17    68    8     [1, 3, 5, 6]               3       1
  17    68    8     [1, 3, 5, 7]               5       1
  17    68    8     [1, 3, 5, 8]               4       1
  17    68    8     [1, 3, 6, 7]               4       1
  17    68    8     [1, 3, 6, 8]               4       1
  17    68    8     [1, 3, 7, 8]               4       1
  17    68    8     [1, 4, 5, 6]               3       1
  17    68    8     [1, 4, 5, 7]               4       1
  17    68    8     [1, 4, 5, 8]               3       1
  17    68    8     [1, 4, 6, 7]               4       1
  17    68    8     [1, 4, 6, 8]               5       1
  17    68    8     [1, 4, 7, 8]               3       1
  17    68    8     [1, 5, 6, 7]               3       1
  17    68    8     [1, 5, 6, 8]               4       1
  17    68    8     [1, 5, 7, 8]               4       1
  17    68    8     [1, 6, 7, 8]               3       1
  17    68    8     [2, 3, 4, 5]               4       1
  17    68    8     [2, 3, 4, 6]               4       1
  17    68    8     [2, 3, 4, 7]               4       1
  17    68    8     [2, 3, 4, 8]               5       1
  17    68    8     [2, 3, 5, 6]               4       1
  17    68    8     [2, 3, 5, 7]               3       1
  17    68    8     [2, 3, 5, 8]               4       1
  17    68    8     [2, 3, 6, 7]               5       1
  17    68    8     [2, 3, 6, 8]               3       1
  17    68    8     [2, 3, 7, 8]               4       1
  17    68    8     [2, 4, 5, 6]               4       1
  17    68    8     [2, 4, 5, 7]               4       1
  17    68    8     [2, 4, 5, 8]               3       1
  17    68    8     [2, 4, 6, 7]               3       1
  17    68    8     [2, 4, 6, 8]               3       1
  17    68    8     [2, 4, 7, 8]               4       1
  17    68    8     [2, 5, 6, 7]               3       1
  17    68    8     [2, 5, 6, 8]               4       1
  17    68    8     [2, 5, 7, 8]               3       1
  17    68    8     [2, 6, 7, 8]               4       1
  17    68    8     [3, 4, 5, 6]               5       1
  17    68    8     [3, 4, 5, 7]               3       1
  17    68    8     [3, 4, 5, 8]               3       1
  17    68    8     [3, 4, 6, 7]               3       1
  17    68    8     [3, 4, 6, 8]               4       1
  17    68    8     [3, 4, 7, 8]               4       1
  17    68    8     [3, 5, 6, 7]               3       1
  17    68    8     [3, 5, 6, 8]               3       1
  17    68    8     [3, 5, 7, 8]               4       1
  17    68    8     [3, 6, 7, 8]               3       1
  17    68    8     [4, 5, 6, 7]               4       1
  17    68    8     [4, 5, 6, 8]               4       1
  17    68    8     [4, 5, 7, 8]               4       1
  17    68    8     [4, 6, 7, 8]               4       1
  17    68    8     [5, 6, 7, 8]               5       1
  17    85    10    [1, 2, 3, 4, 5]            2       1
  17    85    10    [1, 2, 3, 4, 6]            3       1
  17    85    10    [1, 2, 3, 4, 7]            3       1
  17    85    10    [1, 2, 3, 4, 8]            3       1
  17    85    10    [1, 2, 3, 5, 6]            3       1
  17    85    10    [1, 2, 3, 5, 7]            3       1
  17    85    10    [1, 2, 3, 5, 8]            3       1
  17    85    10    [1, 2, 3, 6, 7]            4       1
  17    85    10    [1, 2, 3, 6, 8]            3       1
  17    85    10    [1, 2, 3, 7, 8]            3       1
  17    85    10    [1, 2, 4, 5, 6]            3       1
  17    85    10    [1, 2, 4, 5, 7]            4       1
  17    85    10    [1, 2, 4, 5, 8]            3       1
  17    85    10    [1, 2, 4, 6, 7]            3       1
  17    85    10    [1, 2, 4, 6, 8]            3       1
  17    85    10    [1, 2, 4, 7, 8]            3       1
  17    85    10    [1, 2, 5, 6, 7]            3       1
  17    85    10    [1, 2, 5, 6, 8]            4       1
  17    85    10    [1, 2, 5, 7, 8]            3       1
  17    85    10    [1, 2, 6, 7, 8]            2       1
  17    85    10    [1, 3, 4, 5, 6]            3       1
  17    85    10    [1, 3, 4, 5, 7]            3       1
  17    85    10    [1, 3, 4, 5, 8]            2       1
  17    85    10    [1, 3, 4, 6, 7]            2       1
  17    85    10    [1, 3, 4, 6, 8]            4       1
  17    85    10    [1, 3, 4, 7, 8]            3       1
  17    85    10    [1, 3, 5, 6, 7]            3       1
