n = 4
  |V|   |E|   deg   Gen Set     alpha   sigma
  24    96    8     [2, 3, 4, 6, 12]         4       1
  24    96    8     [2, 3, 5, 6, 12]         6       1
  24    96    8     [2, 4, 5, 6, 12]         4       1
  24    96    8     [3, 4, 5, 6, 12]         6       1
  24    132   11    [1, 2, 3, 4, 5, 12]      4       2
  24    120   10    [1, 2, 3, 4, 6, 12]      4       1
  24    120   10    [1, 2, 3, 5, 6, 12]      6       2
  24    120   10    [1, 2, 4, 5, 6, 12]      4       1
  24    120   10    [1, 3, 4, 5, 6, 12]      4       1
  24    120   10    [2, 3, 4, 5, 6, 12]      4       1
  24    144   12    [1, 2, 3, 4, 5, 6, 12]   2       1

