  n    |V|   |E|   deg   Gen Set   alpha   sigma
  4    8     12    3     [1, 4]    4       2
  5    10    15    3     [1, 5]    4       1
  6    12    18    3     [1, 6]    6       2
  7    14    21    3     [1, 7]    6       1
  8    16    24    3     [1, 8]    8       2
  9    18    27    3     [1, 9]    8       1
  10   20    30    3     [1, 10]   10      2
  11   22    33    3     [1, 11]   10      1
  12   24    36    3     [1, 12]   12      2
  13   26    39    3     [1, 13]   12      1
  14   28    42    3     [1, 14]   14      2
  15   30    45    3     [1, 15]   14      1
