n = 4
  |V|   |E|   deg   Gen Set     alpha   sigma
  18    36    4     [9, 10, 12, 17]   9       2
  18    36    4     [9, 10, 13, 17]   9       2

n = 10
  |V|   |E|   deg   Gen Set            alpha   sigma
  20    30    3     [10, 11, 13]       10      2
  20    30    3     [10, 11, 14]       10      2
  20    30    3     [10, 11, 15]       10      2
  20    30    3     [10, 11, 16]       10      2
  20    30    3     [10, 11, 17]       10      2
  20    30    3     [10, 11, 18]       10      2
  20    30    3     [10, 11, 19]       10      2
  20    30    3     [10, 12, 15]       10      2
  20    30    3     [10, 12, 17]       10      2
  20    30    3     [10, 12, 19]       10      2
  20    30    3     [10, 13, 17]       10      2
  20    30    3     [10, 13, 18]       10      2
  20    30    3     [10, 13, 19]       10      2
  20    30    3     [10, 14, 19]       10      2
  20    40    4     [10, 11, 13, 16]   10      2
  20    40    4     [10, 11, 13, 17]   10      2
  20    40    4     [10, 11, 13, 18]   10      2
  20    40    4     [10, 11, 13, 19]   10      2
  20    40    4     [10, 11, 14, 18]   10      2
  20    40    4     [10, 11, 14, 19]   10      2
  20    40    4     [10, 12, 15, 19]   10      2

n = 11
  |V|   |E|   deg   Gen Set                alpha   sigma
  22    33    3     [11, 12, 14]           11      1
  22    33    3     [11, 12, 15]           11      1
  22    33    3     [11, 12, 16]           11      1
  22    33    3     [11, 12, 17]           11      2
  22    33    3     [11, 12, 18]           11      1
  22    33    3     [11, 12, 19]           11      1
  22    33    3     [11, 12, 20]           11      1
  22    33    3     [11, 12, 21]           11      2
  22    33    3     [11, 13, 16]           11      1
  22    33    3     [11, 13, 17]           11      1
  22    33    3     [11, 13, 18]           11      1
  22    33    3     [11, 13, 19]           11      1
  22    33    3     [11, 13, 20]           11      2
  22    33    3     [11, 13, 21]           11      1
  22    33    3     [11, 14, 18]           11      2
  22    33    3     [11, 14, 19]           11      2
  22    33    3     [11, 14, 20]           11      1
  22    33    3     [11, 14, 21]           11      1
  22    33    3     [11, 15, 20]           11      1
  22    33    3     [11, 15, 21]           11      1
  22    44    4     [11, 12, 14, 17]       11      2
  22    44    4     [11, 12, 14, 18]       11      2
  22    44    4     [11, 12, 14, 19]       11      2
  22    44    4     [11, 12, 14, 20]       11      2
  22    44    4     [11, 12, 14, 21]       11      2
  22    44    4     [11, 12, 15, 19]       11      2
  22    44    4     [11, 12, 15, 20]       11      2
  22    44    4     [11, 12, 15, 21]       11      2
  22    44    4     [11, 12, 16, 21]       11      2
  22    44    4     [11, 13, 16, 20]       11      2
  22    44    4     [11, 13, 16, 21]       11      2
  22    55    5     [11, 12, 14, 17, 21]   11      2

n = 12
  |V|   |E|   deg   Gen Set                alpha   sigma
  24    36    3     [12, 13, 15]           12      1
  24    36    3     [12, 13, 16]           12      1
  24    36    3     [12, 13, 17]           12      1
  24    36    3     [12, 13, 18]           12      2
  24    36    3     [12, 13, 19]           12      2
  24    36    3     [12, 13, 20]           12      1
  24    36    3     [12, 13, 21]           12      1
  24    36    3     [12, 13, 22]           12      1
  24    36    3     [12, 13, 23]           12      2
  24    36    3     [12, 14, 17]           12      1
  24    36    3     [12, 14, 19]           12      2
  24    36    3     [12, 14, 21]           12      1
  24    36    3     [12, 14, 23]           12      1
  24    36    3     [12, 15, 19]           12      1
  24    36    3     [12, 15, 20]           12      1
  24    36    3     [12, 15, 22]           12      1
  24    36    3     [12, 15, 23]           12      1
  24    36    3     [12, 16, 21]           12      1
  24    36    3     [12, 16, 23]           12      1
  24    36    3     [12, 17, 23]           12      2
  24    48    4     [12, 13, 15, 18]       12      2
  24    48    4     [12, 13, 15, 19]       12      2
  24    48    4     [12, 13, 15, 20]       12      2
  24    48    4     [12, 13, 15, 21]       12      2
  24    48    4     [12, 13, 15, 22]       12      2
  24    48    4     [12, 13, 15, 23]       12      2
  24    48    4     [12, 13, 16, 20]       12      2
  24    48    4     [12, 13, 16, 21]       12      2
  24    48    4     [12, 13, 16, 22]       12      2
  24    48    4     [12, 13, 16, 23]       12      2
  24    48    4     [12, 13, 17, 22]       12      2
  24    48    4     [12, 13, 17, 23]       12      2
  24    48    4     [12, 14, 17, 21]       12      2
  24    48    4     [12, 14, 17, 22]       12      2
  24    48    4     [12, 14, 17, 23]       12      2
  24    48    4     [12, 14, 18, 23]       12      2
  24    60    5     [12, 13, 15, 18, 22]   12      2
  24    60    5     [12, 13, 15, 18, 23]   12      3

