n = 4
  |V|   |E|   deg   Gen Set     alpha   sigma
  8     12    3     [4, 5, 7]   4       2

n = 5
  |V|   |E|   deg   Gen Set     alpha   sigma
  10    15    3     [5, 6, 8]   5       2
  10    15    3     [5, 6, 9]   5       2

n = 6
  |V|   |E|   deg   Gen Set      alpha   sigma
  12    18    3     [6, 7, 9]    6       2
  12    18    3     [6, 7, 10]   6       2
  12    18    3     [6, 7, 11]   6       2
  12    18    3     [6, 8, 11]   6       2

n = 7
  |V|   |E|   deg   Gen Set          alpha   sigma
  14    21    3     [7, 8, 10]       7       2
  14    21    3     [7, 8, 11]       7       2
  14    21    3     [7, 8, 12]       7       2
  14    21    3     [7, 8, 13]       7       2
  14    21    3     [7, 9, 12]       7       2
  14    21    3     [7, 9, 13]       7       2
  14    28    4     [7, 8, 10, 13]   7       2

n = 8
  |V|   |E|   deg   Gen Set          alpha   sigma
  16    24    3     [8, 9, 11]       8       2
  16    24    3     [8, 9, 12]       8       2
  16    24    3     [8, 9, 13]       8       2
  16    24    3     [8, 9, 14]       8       2
  16    24    3     [8, 9, 15]       8       2
  16    24    3     [8, 10, 13]      8       2
  16    24    3     [8, 10, 15]      8       2
  16    24    3     [8, 11, 15]      8       2
  16    32    4     [8, 9, 11, 14]   8       2
  16    32    4     [8, 9, 11, 15]   8       2

n = 9
  |V|   |E|   deg   Gen Set           alpha   sigma
  18    27    3     [9, 10, 12]       9       1
  18    27    3     [9, 10, 13]       9       1
  18    27    3     [9, 10, 14]       9       2
  18    27    3     [9, 10, 15]       9       1
  18    27    3     [9, 10, 16]       9       1
  18    27    3     [9, 10, 17]       9       2
  18    27    3     [9, 11, 14]       9       1
  18    27    3     [9, 11, 15]       9       1
  18    27    3     [9, 11, 16]       9       2
  18    27    3     [9, 11, 17]       9       1
  18    27    3     [9, 12, 16]       9       1
  18    27    3     [9, 12, 17]       9       1
  18    36    4     [9, 10, 12, 15]   9       2
  18    36    4     [9, 10, 12, 16]   9       2
