n = 4
  |V|   |E|   deg   Gen Set                 alpha   sigma
  10    30    6     [1, 3, 6, 8]                  2       1
  10    30    6     [1, 3, 6, 9]                  2       1
  10    30    6     [1, 3, 7, 8]                  2       1
  10    30    6     [1, 3, 7, 9]                  2       1
  10    30    6     [1, 3, 8, 9]                  2       1
  10    20    4     [1, 4, 5, 6]                  3       1
  10    20    4     [1, 4, 5, 7]                  4       2
  10    20    4     [1, 4, 5, 8]                  4       2
  10    20    4     [1, 4, 5, 9]                  3       1
  10    20    4     [1, 4, 6, 7]                  3       1
  10    20    4     [1, 4, 6, 8]                  4       2
  10    20    4     [1, 4, 6, 9]                  4       2
  10    20    4     [1, 4, 7, 8]                  3       1
  10    20    4     [1, 4, 7, 9]                  4       2
  10    20    4     [1, 4, 8, 9]                  3       1
  10    25    5     [1, 5, 6, 7]                  2       1
  10    25    5     [1, 5, 6, 8]                  3       1
  10    25    5     [1, 5, 6, 9]                  2       1
  10    25    5     [1, 5, 7, 8]                  3       1
  10    25    5     [1, 5, 7, 9]                  3       1
  10    25    5     [1, 5, 8, 9]                  2       1
  10    25    5     [1, 6, 7, 8]                  2       1
  10    25    5     [1, 6, 7, 9]                  3       1
  10    25    5     [1, 6, 8, 9]                  3       1
  10    25    5     [1, 7, 8, 9]                  2       1
  10    20    4     [2, 3, 5, 6]                  4       2
  10    20    4     [2, 3, 5, 7]                  3       1
  10    20    4     [2, 3, 5, 8]                  3       1
  10    20    4     [2, 3, 5, 9]                  4       2
  10    20    4     [2, 3, 6, 7]                  4       2
  10    20    4     [2, 3, 6, 8]                  3       1
  10    20    4     [2, 3, 6, 9]                  3       1
  10    20    4     [2, 3, 7, 8]                  4       2
  10    20    4     [2, 3, 7, 9]                  3       1
  10    20    4     [2, 3, 8, 9]                  4       2
  10    30    6     [2, 4, 5, 6]                  2       1
  10    30    6     [2, 4, 5, 7]                  2       1
  10    30    6     [2, 4, 5, 8]                  2       1
  10    30    6     [2, 4, 5, 9]                  2       1
  10    30    6     [2, 4, 6, 7]                  2       1
  10    30    6     [2, 4, 6, 8]                  2       1
  10    30    6     [2, 4, 6, 9]                  2       1
  10    30    6     [2, 4, 7, 8]                  2       1
  10    30    6     [2, 4, 7, 9]                  2       1
  10    30    6     [2, 4, 8, 9]                  2       1
  10    25    5     [2, 5, 6, 7]                  3       1
  10    25    5     [2, 5, 6, 8]                  2       1
  10    25    5     [2, 5, 6, 9]                  3       1
  10    25    5     [2, 5, 7, 8]                  2       1
  10    25    5     [2, 5, 7, 9]                  2       1
  10    25    5     [2, 5, 8, 9]                  3       1
  10    25    5     [2, 6, 7, 8]                  3       1
  10    25    5     [2, 6, 7, 9]                  2       1
  10    25    5     [2, 6, 8, 9]                  2       1
